Estudante,123.456.789-01,Ana Paula Souza,51998765432,150,AAA1A01
Empresa,67.890.123/0001-45,Distribuidora Norte Ltda,51598765432,7300,AAG1A06,AAG1A07,AAG1A08,AAG1A09,AAG1A10,AAH1A01,AAH1A02,AAH1A03
Empresa,78.901.234/0001-56,Academia Forma Fit,51587654321,900,AAH1A04,AAH1A05,AAH1A06,AAH1A07,AAH1A08,AAH1A09,AAH1A10,AAI1A01,AAI1A02
Empresa,89.012.345/0001-67,Restaurante Sabor Gaúcho,51576543210,4100,AAI1A03,AAI1A04,AAI1A05,AAI1A06,AAI1A07,AAI1A08,AAI1A09,AAI1A10,AAJ1A01,AAJ1A02
Empresa,90.123.456/0001-78,Escola Aprender Mais,51565432109,6600,AAJ1A03,AAJ1A04,AAJ1A05,AAJ1A06,AAJ1A07,AAJ1A08,AAJ1A09,AAJ1A10,AAK1A01,AAK1A02,AAK1A03
Empresa,01.234.567/0001-89,Farmácia Vida Saudável,51554321098,2800,AAK1A04,AAK1A05,AAK1A06,AAK1A07,AAK1A08,AAK1A09,AAK1A10,AAL1A01,AAL1A02,AAL1A03,AAL1A04,AAL1A05
Empresa,11.223.344/0001-55,Consultoria Estratégica RS,51543210987,18000,AAL1A06,AAL1A07,AAL1A08,AAL1A09,AAL1A10,AAM1A01,AAM1A02,AAM1A03,AAM1A04,AAM1A05,AAM1A06,AAM1A07,AAM1A08
Empresa,22.334.455/0001-66,Transportadora Veloz,51532109876,9400,AAM1A09,AAM1A10,AAN1A01,AAN1A02,AAN1A03,AAN1A04,AAN1A05,AAN1A06,AAN1A07,AAN1A08,AAN1A09,AAN1A10,AAO1A01,AAO1A02
Empresa,33.445.566/0001-77,Hotel Confort Inn,51521098765,11200,AAO1A03,AAO1A04,AAO1A05,AAO1A06,AAO1A07,AAO1A08,AAO1A09,AAO1A10,AAP1A01,AAP1A02,AAP1A03,AAP1A04,AAP1A05,AAP1A06,AAP1A07
Empresa,44.556.677/0001-88,Imobiliária Santos e Cia,51510987654,3700,AAP1A08,AAP1A09,AAP1A10
Empresa,55.667.788/0001-99,Gráfica Digital Express,51509876543,5500,AAQ1A01,AAQ1A02,AAQ1A03,AAQ1A04
